course,courseTitle
http://ROBOPROF.org/data#CIVI212,CIVI 212: Civil Engineering Drawing and Introduction to Design
http://ROBOPROF.org/data#MSCA689,MSCA 689: SEMINAR IN OPEARTION MANA II
http://ROBOPROF.org/data#MUSI491,MUSI 491: Special Project in Music
http://ROBOPROF.org/data#RELI410,RELI 410: Honours Thesis
http://ROBOPROF.org/data#PSYC803,PSYC 803: SPECIAL TOPIC SEMINAR
http://ROBOPROF.org/data#ENGL608,ENGL 608: Studies in Early English Literature and Medieval Literature
http://ROBOPROF.org/data#LBCL499,LBCL 499: ADV TOPICS LBCL
http://ROBOPROF.org/data#APLI691,APLI 691: THESIS
http://ROBOPROF.org/data#FLIZ230,FLIZ 230: Introduction aux cultures de la francophonie
http://ROBOPROF.org/data#DFTT408,DFTT 408: Supervised Internship I
http://ROBOPROF.org/data#COMP248,COMP 248: Object-Oriented Programming I
http://ROBOPROF.org/data#ARTH471,ARTH 471: SPEC. TOPICS IN ART HISTORY
http://ROBOPROF.org/data#ECON540,ECON 540: Market Design
http://ROBOPROF.org/data#INDI820,INDI 820: DOCTORAL LEVEL STUDIES
http://ROBOPROF.org/data#AHSC442,AHSC 442: COMMUNITY DEVELOPMENT AND LEISURE
http://ROBOPROF.org/data#MATH498,MATH 498: ADVANCED TOPICS IN MATH
http://ROBOPROF.org/data#PSYC243,PSYC 243: Learning Disabilities
http://ROBOPROF.org/data#CHME6001,CHME 6001: Project in Chemical and Materials Engineering
http://ROBOPROF.org/data#CERA230,CERA 230: Ceramics I
http://ROBOPROF.org/data#THEO603,THEO 603: Method in Theology
http://ROBOPROF.org/data#RELI225,RELI 225: Introduction to Hinduism
http://ROBOPROF.org/data#EDUC361,EDUC 361: Inclusive Practices in Early Childhood Settings
http://ROBOPROF.org/data#CHEM675,CHEM 675: SELECTED TOPICS IN BIOCHEM.
http://ROBOPROF.org/data#ARTH6600,ARTH 6600: THE SOCIAL CONTEXTS OF ART AND ARCHITECTURE
