topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Perforce,perforce,http://dbpedia.org/resource/Perforce
http://ROBOPROF.org/data#Traceability,traceability,http://dbpedia.org/resource/Traceability
http://ROBOPROF.org/data#Traceability,traceable,http://dbpedia.org/resource/Traceability
http://ROBOPROF.org/data#Starting_Point,starting point,http://dbpedia.org/resource/Starting_Point
http://ROBOPROF.org/data#BitKeeper,bitkeeper,http://dbpedia.org/resource/BitKeeper
http://ROBOPROF.org/data#Open-source-software_movement,open source movement,http://dbpedia.org/resource/Open-source-software_movement
http://ROBOPROF.org/data#Workflow,workflow,http://dbpedia.org/resource/Workflow
http://ROBOPROF.org/data#File_system,directory,http://dbpedia.org/resource/File_system
http://ROBOPROF.org/data#Version_control,source code,http://dbpedia.org/resource/Version_control
http://ROBOPROF.org/data#Version_control,scm,http://dbpedia.org/resource/Version_control
http://ROBOPROF.org/data#Soen,soen,http://dbpedia.org/resource/Soen
http://ROBOPROF.org/data#IBM_PC_compatible,clone,http://dbpedia.org/resource/IBM_PC_compatible
http://ROBOPROF.org/data#Linux,linux,http://dbpedia.org/resource/Linux
http://ROBOPROF.org/data#Microsoft_Visual_SourceSafe,microsoft visual sourcesafe,http://dbpedia.org/resource/Microsoft_Visual_SourceSafe
http://ROBOPROF.org/data#Init,init,http://dbpedia.org/resource/Init
http://ROBOPROF.org/data#Linus_Torvalds,linus,http://dbpedia.org/resource/Linus_Torvalds
http://ROBOPROF.org/data#Outsourcing,outsourcing,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Outsourcing,outsource,http://dbpedia.org/resource/Outsourcing
http://ROBOPROF.org/data#Computer_program,programming,http://dbpedia.org/resource/Computer_program
http://ROBOPROF.org/data#Television_advertisement,cm,http://dbpedia.org/resource/Television_advertisement
http://ROBOPROF.org/data#Database,database,http://dbpedia.org/resource/Database
http://ROBOPROF.org/data#Concurrent_Versions_System,cvs,http://dbpedia.org/resource/Concurrent_Versions_System
http://ROBOPROF.org/data#Git,git,http://dbpedia.org/resource/Git
http://ROBOPROF.org/data#Apache_Subversion,subversion,http://dbpedia.org/resource/Apache_Subversion
http://ROBOPROF.org/data#Communication,communication,http://dbpedia.org/resource/Communication
http://ROBOPROF.org/data#World_Wide_Web,internet,http://dbpedia.org/resource/World_Wide_Web
http://ROBOPROF.org/data#Time_zone,time zone,http://dbpedia.org/resource/Time_zone
http://ROBOPROF.org/data#Software_bug,bug,http://dbpedia.org/resource/Software_bug
http://ROBOPROF.org/data#Triage,triage,http://dbpedia.org/resource/Triage
http://ROBOPROF.org/data#Perforce,perforce,http://dbpedia.org/resource/Perforce
"http://ROBOPROF.org/data#Kawaguchi,_Saitama",kawaguchi,"http://dbpedia.org/resource/Kawaguchi,_Saitama"
http://ROBOPROF.org/data#Herbert_A._Simon,simon,http://dbpedia.org/resource/Herbert_A._Simon
http://ROBOPROF.org/data#Social_network,network analysis,http://dbpedia.org/resource/Social_network
http://ROBOPROF.org/data#Java_virtual_machine,java,http://dbpedia.org/resource/Java_virtual_machine
http://ROBOPROF.org/data#Agile_software_development,agile development,http://dbpedia.org/resource/Agile_software_development
http://ROBOPROF.org/data#Application_programming_interface,api,http://dbpedia.org/resource/Application_programming_interface
http://ROBOPROF.org/data#Internet_Relay_Chat,irc,http://dbpedia.org/resource/Internet_Relay_Chat
http://ROBOPROF.org/data#Malcolm_Fraser,fraser,http://dbpedia.org/resource/Malcolm_Fraser
http://ROBOPROF.org/data#Evolution,evolutionary biologist,http://dbpedia.org/resource/Evolution
http://ROBOPROF.org/data#Evolution,evolution,http://dbpedia.org/resource/Evolution
http://ROBOPROF.org/data#Unitsa,unitsa,http://dbpedia.org/resource/Unitsa
http://ROBOPROF.org/data#Lithium,li,http://dbpedia.org/resource/Lithium
http://ROBOPROF.org/data#Prince_Hassan_bin_Talal,hassan,http://dbpedia.org/resource/Prince_Hassan_bin_Talal
http://ROBOPROF.org/data#Association_rule_learning,association rules,http://dbpedia.org/resource/Association_rule_learning
http://ROBOPROF.org/data#GNATS,gnats,http://dbpedia.org/resource/GNATS
http://ROBOPROF.org/data#Jira_(software),jira,http://dbpedia.org/resource/Jira_(software)
http://ROBOPROF.org/data#Henry_Holt_and_Company,holt,http://dbpedia.org/resource/Henry_Holt_and_Company
http://ROBOPROF.org/data#Quality_assurance,quality assurance,http://dbpedia.org/resource/Quality_assurance
http://ROBOPROF.org/data#Source_lines_of_code,loc,http://dbpedia.org/resource/Source_lines_of_code
http://ROBOPROF.org/data#Psychometrics,psychometric,http://dbpedia.org/resource/Psychometrics
http://ROBOPROF.org/data#Open-source_software,open source,http://dbpedia.org/resource/Open-source_software
http://ROBOPROF.org/data#Concurrent_Versions_System,cvs,http://dbpedia.org/resource/Concurrent_Versions_System
http://ROBOPROF.org/data#Directed_graph,outdegree,http://dbpedia.org/resource/Directed_graph
http://ROBOPROF.org/data#Directed_graph,indegree,http://dbpedia.org/resource/Directed_graph
http://ROBOPROF.org/data#Codea,codea,http://dbpedia.org/resource/Codea
http://ROBOPROF.org/data#UpToDate,uptodate,http://dbpedia.org/resource/UpToDate
http://ROBOPROF.org/data#Defect_tracking,defect tracking,http://dbpedia.org/resource/Defect_tracking
http://ROBOPROF.org/data#The_Apache_Software_Foundation,apache,http://dbpedia.org/resource/The_Apache_Software_Foundation
http://ROBOPROF.org/data#SMLC,smlc,http://dbpedia.org/resource/SMLC
