course,courseDetails
http://ROBOPROF.org/data#COMP248,COMP 248: Object-Oriented Programming I
http://ROBOPROF.org/data#COMP474,COMP 474: Intelligent Systems
http://ROBOPROF.org/data#COMP6651,COMP 6651: ALGORITHM DESIGN TECHNIQUES
http://ROBOPROF.org/data#COMP6591,COMP 6591: INTRO/KNOWLEDGE-BASE SYSTEMS
http://ROBOPROF.org/data#COMP7781,COMP 7781: ADV IMAGE PROC
http://ROBOPROF.org/data#COMP6661,COMP 6661: COMBINATORIAL ALGORITHMS
http://ROBOPROF.org/data#COMP6971,COMP 6971: Project and Report
http://ROBOPROF.org/data#COMP5531,COMP 5531: FILES AND DATABASES
http://ROBOPROF.org/data#COMP6781,COMP 6781: COMP 6781 Statistical Natural Language Processing
http://ROBOPROF.org/data#COMP346,COMP 346: Operating Systems
http://ROBOPROF.org/data#COMP5201,COMP 5201: COMP. ORGANIZ N+ASSEMB.LANG.
http://ROBOPROF.org/data#COMP352,COMP 352: Data Structures and Algorithms
http://ROBOPROF.org/data#COMP6311,COMP 6311: ANIMATION FOR COMPUTER GAMES
http://ROBOPROF.org/data#COMP208,COMP 208: Computer Science Industrial Experience Reflective Learning II
http://ROBOPROF.org/data#COMP479,COMP 479: Information Retrieval and Web Search
http://ROBOPROF.org/data#COMP438,COMP 438: GEOMETRIC MODLEING AND PROCESSING
http://ROBOPROF.org/data#COMP7241,COMP 7241: PARALLEL ALGORITHMS+ARCHIT E
http://ROBOPROF.org/data#COMP7941,COMP 7941: MASTER S RESEARCH AND THESIS
http://ROBOPROF.org/data#COMP6821,COMP 6821: Bioinformatics Databases and Systems
http://ROBOPROF.org/data#COMP6231,COMP 6231: DISTRIBUTED SYSTEM DESIGN
http://ROBOPROF.org/data#COMP5361,COMP 5361: DISCRETE STR.+FORMAL LANG.
http://ROBOPROF.org/data#COMP6711,COMP 6711: COMPUTATIONAL GEOMETRY
http://ROBOPROF.org/data#COMP367,COMP 367: Techniques in Symbolic Computation
http://ROBOPROF.org/data#COMP779,COMP 779: SEL TOPICS-COMP APPLICATIONS
http://ROBOPROF.org/data#COMP6361,COMP 6361: NUMERIC ANALY/NONLINEAR EQUA
http://ROBOPROF.org/data#COMP6741,COMP 6741: INTELLIGENT SYSTEMS
http://ROBOPROF.org/data#COMP739,COMP 739: SEL TOP-THEORETICAL COMP SCI
http://ROBOPROF.org/data#COMP465,COMP 465: Design and Analysis of Algorithms
http://ROBOPROF.org/data#COMP490,COMP 490: Computer Science Project I
http://ROBOPROF.org/data#COMP432,COMP 432: Machine Learning
http://ROBOPROF.org/data#COMP5481,COMP 5481: PROGRAM G + PROBLEM SOLVING
http://ROBOPROF.org/data#COMP729,COMP 729: SELECT TOP-DIGITAL SYSTEMS
http://ROBOPROF.org/data#COMP6281,COMP 6281: PARALLEL PROGRAMMING
http://ROBOPROF.org/data#COMP345,"COMP 345: ADVANCED PROGRAM DESIGN, C++"
http://ROBOPROF.org/data#COMP5541,COMP 5541: TOOLS+TECHNIQUES / SW ENGR.
http://ROBOPROF.org/data#COMP690,COMP 690: COMP.ANAL.NATURAL LANG.TEST
http://ROBOPROF.org/data#COMP495,COMP 495: Honours Seminar
http://ROBOPROF.org/data#COMP353,COMP 353: Databases
http://ROBOPROF.org/data#COMP6421,COMP 6421: COMPILER DESIGN
http://ROBOPROF.org/data#COMP361,COMP 361: Elementary Numerical Methods
http://ROBOPROF.org/data#COMP791,COMP 791: TOPICS IN COMP. SCIENCE II
http://ROBOPROF.org/data#COMP333,COMP 333: Data Analytics
http://ROBOPROF.org/data#COMP6641,COMP 6641: THEORY OF COMPUTATION
http://ROBOPROF.org/data#COMP6411,COMP 6411: COMPARAT.STUDY/PROGRAM.LANG.
http://ROBOPROF.org/data#COMP232,COMP 232: Mathematics for Computer Science
http://ROBOPROF.org/data#COMP6731,COMP 6731: PATTERN RECOGNITION
http://ROBOPROF.org/data#COMP6721,COMP 6721: APPLIED ARTIFICIAL INTELLIGENCE
http://ROBOPROF.org/data#COMP249,COMP 249: Object-Oriented Programming II
http://ROBOPROF.org/data#COMP759,COMP 759: SEL TOPICS-INFORMATION MANA
http://ROBOPROF.org/data#COMP108,COMP 108: Computer Science Industrial Experience Reflective Learning I
http://ROBOPROF.org/data#COMP5611,COMP 5611: ELEMENTARY NUMERICAL METHODS
http://ROBOPROF.org/data#COMP425,COMP 425: COMPUTER VISION
http://ROBOPROF.org/data#COMP6371,COMP 6371: IMMERSIVE TECHNOLOGIES
http://ROBOPROF.org/data#COMP218,COMP 218: Fundamentals of Programming
http://ROBOPROF.org/data#COMP478,COMP 478: Image Processing
http://ROBOPROF.org/data#COMP790,COMP 790: TOPICS/COMPUTER SCIENCE II
http://ROBOPROF.org/data#COMP5511,COMP 5511: PRINCIPLES/DATA STRUCTURES
http://ROBOPROF.org/data#COMP6341,COMP 6341: COMPUTER VISION
http://ROBOPROF.org/data#COMP5261,COMP 5261: COMPUTER ARCHITECTURE
http://ROBOPROF.org/data#COMP335,COMP 335: Introduction to Theoretical Computer Science
http://ROBOPROF.org/data#COMP6961,COMP 6961: GRADUATE SEMINAR-COMP.SC.
http://ROBOPROF.org/data#COMP426,COMP 426: Multicore Programming
http://ROBOPROF.org/data#COMP339,COMP 339: COMBINATORICS
http://ROBOPROF.org/data#COMP427,COMP 427: ADV TOPICS MICROPROC SYSTEMS
http://ROBOPROF.org/data#COMP444,COMP 444: System Software Design
http://ROBOPROF.org/data#COMP7921,COMP 7921: MASTER S RESEARCH AND THESIS
http://ROBOPROF.org/data#COMP348,COMP 348: Principles of Programming Languages
http://ROBOPROF.org/data#COMP228,COMP 228: System Hardware
http://ROBOPROF.org/data#COMP7531,COMP 7531: DB SYSTEMS PRINCIPLES
http://ROBOPROF.org/data#COMP472,COMP 472: Artificial Intelligence
http://ROBOPROF.org/data#COMP792,COMP 792: MASTER S RESEARCH AND THESIS
http://ROBOPROF.org/data#COMP8901,COMP 8901: DOCTORAL RESEARCH AND THESIS
http://ROBOPROF.org/data#COMP6761,COMP 6761: ADVANCED COMPUTER GRAPHICS
http://ROBOPROF.org/data#COMP201,COMP 201: Introduction to Computing
http://ROBOPROF.org/data#COMP493,COMP 493: Computational Biology Team Project
http://ROBOPROF.org/data#COMP6981,COMP 6981: PROJECT AND REPORT II
http://ROBOPROF.org/data#COMP326,COMP 326: Computer Architecture
http://ROBOPROF.org/data#COMP428,COMP 428: Parallel Programming
http://ROBOPROF.org/data#COMP6461,COMP 6461: COMPUTER NETWORKS + PROTOCOL
http://ROBOPROF.org/data#COMP6631,COMP 6631: LARGE-SCALE OPTIMIZATION
http://ROBOPROF.org/data#COMP371,COMP 371: Computer Graphics
http://ROBOPROF.org/data#COMP475,COMP 475: Immersive Technologies
http://ROBOPROF.org/data#COMP5461,COMP 5461: OPERATING SYSTEMS
http://ROBOPROF.org/data#COMP6751,COMP 6751: NATURAL LANGUAGE ANALYSIS
http://ROBOPROF.org/data#COMP451,COMP 451: DATABASE DESIGN
http://ROBOPROF.org/data#COMP6381,COMP 6381: Digital Geometric Modelling
http://ROBOPROF.org/data#COMP477,COMP 477: Animation for Computer Games
http://ROBOPROF.org/data#COMP492,COMP 492: Computer Science Project II
http://ROBOPROF.org/data#COMP6611,COMP 6611: APPL./SYMBOLIC+ALGEB.COMPU N
http://ROBOPROF.org/data#COMP473,COMP 473: Pattern Recognition
http://ROBOPROF.org/data#COMP6321,COMP 6321: MACHINE LEARNING
http://ROBOPROF.org/data#COMP769,COMP 769: SEL TOP - NUMERICAL COMPUTAT
http://ROBOPROF.org/data#COMP233,COMP 233: Probability and Statistics for Computer Science
http://ROBOPROF.org/data#COMP890,COMP 890: DOCTORAL RESEARCH AND THESIS
http://ROBOPROF.org/data#COMP354,COMP 354: Introduction to Software Engineering
http://ROBOPROF.org/data#COMP445,COMP 445: Data Communication and Computer Networks
http://ROBOPROF.org/data#COMP6481,COMP 6481: Program and Problem Solving
http://ROBOPROF.org/data#COMP6351,COMP 6351: SCIENTIFIC COMPUTATION
http://ROBOPROF.org/data#COMP6531,COMP 6531: FOUNDATIONS/SEMANTIC WEB
http://ROBOPROF.org/data#COMP6331,COMP 6331: ADVANCED GAME DEVELOPMENT
http://ROBOPROF.org/data#COMP749,COMP 749: SELECTED TOPICS IN SOFTWARE
http://ROBOPROF.org/data#COMP7651,COMP 7651: ADV. ANALYSIS OF ALOGARITHMS
http://ROBOPROF.org/data#COMP6521,COMP 6521: ADV.DATABASE TECH. AND APPL.
http://ROBOPROF.org/data#COMP6791,COMP 6791: INFO. RETRIEVAL & WEB SEARCH
http://ROBOPROF.org/data#COMP6771,COMP 6771: Image Processing
http://ROBOPROF.org/data#COMP376,COMP 376: Introduction to Game Development
