"lecture","topicLabel","source"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","lsi","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","mercurio","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","navy","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","traceability","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture06/readings/Impact_Analysis_and_RegressionTesting06.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","traceability","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","java","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","google fit","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","uml","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","uml","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture01/slides/IntroSoftwareEvolution01.pdf"
"http://ROBOPROF.org/data#SOEN6431_Lecture02","strava","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture02/slides/SoftwareTraceability02.pdf"
