lecture_content,topic_name,topic_URI
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,cloning,http://dbpedia.org/resource/Cloning
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,mozilla,http://dbpedia.org/resource/Firefox
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,milestone,http://dbpedia.org/resource/Milestone
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,clones,http://dbpedia.org/resource/Cloning
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,cognitive load,http://dbpedia.org/resource/Cognitive_load
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,industrial,http://dbpedia.org/resource/Industry
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,logic,http://dbpedia.org/resource/Boolean_algebra
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,parsing,http://dbpedia.org/resource/Parsing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,xwindow,http://dbpedia.org/resource/X_Window_System
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,pmax,http://dbpedia.org/resource/DECstation
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,control flow,http://dbpedia.org/resource/Control_flow
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,clone,http://dbpedia.org/resource/Molecular_cloning
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,real number,http://dbpedia.org/resource/Real_number
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,genealogy,http://dbpedia.org/resource/Genealogy
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,maintainability,http://dbpedia.org/resource/Maintainability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,core,http://dbpedia.org/resource/Congress_of_Racial_Equality
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,r6,http://dbpedia.org/resource/List_of_bus_routes_in_London
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,memory,http://dbpedia.org/resource/Memory_management
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,energy,http://dbpedia.org/resource/Energy
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,communication,http://dbpedia.org/resource/Communication
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Clones07.pdf,bandwidth,http://dbpedia.org/resource/Spectral_line
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,maven,http://dbpedia.org/resource/Apache_Maven
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,java,http://dbpedia.org/resource/Java_virtual_machine
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,build tool,http://dbpedia.org/resource/Build_automation
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,plugins,http://dbpedia.org/resource/Browser_extension
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,jar,http://dbpedia.org/resource/Jar
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,project object model,http://dbpedia.org/resource/Apache_Maven
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,xml,http://dbpedia.org/resource/XML
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,reusability,http://dbpedia.org/resource/Reusability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,maintainability,http://dbpedia.org/resource/Maintainability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,ide,http://dbpedia.org/resource/Integrated_development_environment
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,source code,http://dbpedia.org/resource/Version_control
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,integration tests,http://dbpedia.org/resource/Integration_testing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,hunting,http://dbpedia.org/resource/Hunting
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,orthe,http://dbpedia.org/resource/Orthe
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,database,http://dbpedia.org/resource/Database
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,integrator,http://dbpedia.org/resource/Integrator
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,pain,http://dbpedia.org/resource/Pain
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,xp,http://dbpedia.org/resource/Extreme_programming
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,mantra,http://dbpedia.org/resource/Mantra
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,automation,http://dbpedia.org/resource/Automation
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,cruisecontrol,http://dbpedia.org/resource/CruiseControl
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/ContiniousIntegration05.pdf,teamcity,http://dbpedia.org/resource/TeamCity
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,soen,http://dbpedia.org/resource/Soen
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,general idea,http://dbpedia.org/resource/General_Idea
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,cognitive,http://dbpedia.org/resource/Cognition
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,cognition,http://dbpedia.org/resource/Cognition
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,database,http://dbpedia.org/resource/Database
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,perl,http://dbpedia.org/resource/Perl
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,grep,http://dbpedia.org/resource/Grep
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,awk,http://dbpedia.org/resource/AWK
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,symbol table,http://dbpedia.org/resource/Symbol_table
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,parse tree,http://dbpedia.org/resource/Parse_tree
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,syntax,http://dbpedia.org/resource/Formal_grammar
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,grammar,http://dbpedia.org/resource/Formal_grammar
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,parsing,http://dbpedia.org/resource/Parsing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,gcd,http://dbpedia.org/resource/Greatest_common_divisor
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,semantics,http://dbpedia.org/resource/Semantics
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,ast,http://dbpedia.org/resource/Abstract_syntax_tree
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,type checking,http://dbpedia.org/resource/Type_system
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,graph,http://dbpedia.org/resource/Graph_theory
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,pizza,http://dbpedia.org/resource/Pizza
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,debugging,http://dbpedia.org/resource/Debugging
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,regression testing,http://dbpedia.org/resource/Regression_testing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,split,http://dbpedia.org/resource/RNK_Split
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,weiser,http://dbpedia.org/resource/Weiser_River
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,undecidable,http://dbpedia.org/resource/Undecidable_problem
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,i6,http://dbpedia.org/resource/Straight-six_engine
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,ian,http://dbpedia.org/resource/Ian_Beale
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,ai,http://dbpedia.org/resource/Artificial_intelligence
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,ais,http://dbpedia.org/resource/Ais_people
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,dependence,http://dbpedia.org/resource/Dependent_and_independent_variables
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,predicate,http://dbpedia.org/resource/SQL
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/Source_code_analysis06.pdf,pdga,http://dbpedia.org/resource/Professional_Disc_Golf_Association
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,soen,http://dbpedia.org/resource/Soen
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,evolution,http://dbpedia.org/resource/Evolution
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,industrial,http://dbpedia.org/resource/Industry
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,semantic,http://dbpedia.org/resource/Programming_language
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,arthur,http://dbpedia.org/resource/King_Arthur
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,evolvability,http://dbpedia.org/resource/Evolvability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,ibm,http://dbpedia.org/resource/IBM
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,closed source,http://dbpedia.org/resource/Proprietary_software
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,opensource,http://dbpedia.org/resource/Open_source
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,pirzada,http://dbpedia.org/resource/Pirzada
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,unix,http://dbpedia.org/resource/Unix
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,os,http://dbpedia.org/resource/Operating_system
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,lunix,http://dbpedia.org/resource/LUnix
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,intellectual property,http://dbpedia.org/resource/Intellectual_property
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,cots,http://dbpedia.org/resource/Commercial_off-the-shelf
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,reverse engineering,http://dbpedia.org/resource/Reverse_engineering
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,uml,http://dbpedia.org/resource/Unified_Modeling_Language
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,reengineering,http://dbpedia.org/resource/Code_refactoring
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,oxford english dictionary,http://dbpedia.org/resource/Oxford_English_Dictionary
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,outsource,http://dbpedia.org/resource/Outsourcing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,mathematics,http://dbpedia.org/resource/Mathematics
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,theorem,http://dbpedia.org/resource/Theorem
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,hightech,http://dbpedia.org/resource/High_tech
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,swimmer,http://dbpedia.org/resource/Swimming
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,onetwo,http://dbpedia.org/resource/Onetwo_(band)
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,dl,http://dbpedia.org/resource/X86
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,usability,http://dbpedia.org/resource/Usability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,middleware,http://dbpedia.org/resource/Middleware
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,regression,http://dbpedia.org/resource/Regression_testing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,smlc,http://dbpedia.org/resource/SMLC
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,iso,http://dbpedia.org/resource/International_Organization_for_Standardization
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,ieee,http://dbpedia.org/resource/IEEE_754
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,ripple,http://dbpedia.org/resource/Capillary_wave
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,cost risk,http://dbpedia.org/resource/Cost_overrun
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,pipeline,http://dbpedia.org/resource/Instruction_pipelining
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,acm,http://dbpedia.org/resource/Association_for_Computing_Machinery
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,css,http://dbpedia.org/resource/Cascading_Style_Sheets
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/IntroSoftwareEvolution01.pdf,dashed,http://dbpedia.org/resource/DASHED
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,soen,http://dbpedia.org/resource/Soen
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,internet,http://dbpedia.org/resource/World_Wide_Web
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,programming,http://dbpedia.org/resource/Computer_program
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,outsourcing,http://dbpedia.org/resource/Outsourcing
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,open source movement,http://dbpedia.org/resource/Open-source-software_movement
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,scm,http://dbpedia.org/resource/Version_control
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,traceable,http://dbpedia.org/resource/Traceability
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,time zone,http://dbpedia.org/resource/Time_zone
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,cm,http://dbpedia.org/resource/Television_advertisement
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,triage,http://dbpedia.org/resource/Triage
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,bug,http://dbpedia.org/resource/Software_bug
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,directory,http://dbpedia.org/resource/File_system
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,microsoft visual sourcesafe,http://dbpedia.org/resource/Microsoft_Visual_SourceSafe
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,cvs,http://dbpedia.org/resource/Concurrent_Versions_System
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,perforce,http://dbpedia.org/resource/Perforce
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,starting point,http://dbpedia.org/resource/Starting_Point
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,database,http://dbpedia.org/resource/Database
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,subversion,http://dbpedia.org/resource/Apache_Subversion
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,communication,http://dbpedia.org/resource/Communication
/Users/sharanyu/My Drive/Edu/Concordia/CU MACS/IS/Project/data/course_materials/SOEN6431/slides/SoftwareRepositories05.pdf,bitkeeper,http://dbpedia.org/resource/BitKeeper
